ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3728,59,59,1180000,30-08-2006,480,7.1,MD,661,Owner Occupied,Fix
1768,80,80,1120000,23-08-2006,360,7.25,FL,624,Owner Occupied,ARM
4249,75,75,1050000,13-09-2006,480,8.15,CT,594,Owner Occupied,ARM
1812,45.46,45.46,1000000,29-08-2006,360,8.05,CA,606,Owner Occupied,ARM
1835,90,90,990000,30-08-2006,360,8.75,IL,657,Owner Occupied,ARM
1252,80,80,960000,08-09-2006,360,7.65,CA,658,Owner Occupied,ARM
2759,93.2,93.2,960000,05-09-2006,360,9.15,AZ,623,Owner Occupied,ARM
737,90,90,954000,30-08-2006,480,7.75,PA,622,Owner Occupied,Fix
2728,75,75,952500,31-08-2006,480,6.8,CA,583,Owner Occupied,ARM
3383,90,90,920700,06-06-2006,360,8.9,MA,652,Owner Occupied,ARM
2809,85,99.35,896750,30-08-2006,480,7.1,MN,682,Owner Occupied,ARM
1965,85,85,892500,06-07-2006,360,8.25,CA,621,Owner Occupied,ARM
3948,90,90,864000,06-09-2006,480,6.5,HI,664,Owner Occupied,Fix
174,77.27,77.27,850000,30-08-2006,360,8.8,NJ,574,Owner Occupied,ARM
2274,94.44,94.44,849999,22-08-2006,360,7.19,AZ,655,Owner Occupied,ARM
754,80,80,844800,29-06-2006,480,8.9,FL,654,Owner Occupied,ARM
2424,75,75,836250,18-09-2006,480,7.85,CA,537,Owner Occupied,ARM
1793,80,80,808000,29-08-2006,360,9.5,CA,676,Investor Owned,ARM
150,80,80,800000,28-08-2006,360,7.9,MD,534,Owner Occupied,ARM
1121,90,90,783000,27-06-2006,360,7.25,CO,636,Owner Occupied,Fix
221,90,90,765000,24-08-2006,360,7.65,HI,678,Owner Occupied,Fix
4470,80,80,764000,31-08-2006,360,7.35,TX,602,Owner Occupied,ARM
2073,95,100,755250,31-08-2006,360,7.99,CA,643,Owner Occupied,ARM
3211,89.88,89.88,755000,30-08-2006,480,8.75,CA,657,Owner Occupied,ARM
2841,75.08,75.08,750000,05-09-2006,360,6.99,CA,549,Owner Occupied,ARM
3709,42.86,42.86,750000,30-08-2006,360,7.99,NY,600,Owner Occupied,ARM
2356,85,85,748000,31-08-2006,360,11.375,WA,565,Owner Occupied,ARM
2247,84.82,84.82,721000,30-08-2006,360,6.4,NJ,625,Owner Occupied,ARM
1398,80,100,720000,18-08-2006,480,9.6,CA,689,Owner Occupied,ARM
1977,79.56,79.56,720000,15-09-2006,360,9.99,CA,532,Owner Occupied,ARM
2144,80,100,720000,31-08-2006,360,7.3,CA,681,Owner Occupied,ARM
2272,90,90,720000,30-08-2006,360,6.75,CA,701,Owner Occupied,Fix
3417,80,100,720000,12-09-2006,360,8.2,CA,628,Owner Occupied,ARM
272,90,90,712260,18-09-2006,360,7.925,HI,696,Owner Occupied,ARM
947,80,100,712000,28-08-2006,480,5.8,CA,628,Owner Occupied,ARM
1652,88.2,88.2,710000,28-07-2006,360,6.375,CA,776,Owner Occupied,Fix
1723,85,85,701250,22-05-2006,360,8.2,FL,651,Owner Occupied,Fix
4316,80,100,696000,05-09-2006,360,7.5,CA,689,Owner Occupied,ARM
1403,88.72,98.72,692000,31-08-2006,360,8.75,CA,639,Owner Occupied,ARM
3844,80,100,692000,31-08-2006,360,8.15,CA,649,Owner Occupied,ARM
2006,80,100,688000,30-08-2006,360,8.45,CA,748,Owner Occupied,ARM
2336,80,100,688000,31-08-2006,480,8.2,FL,642,Owner Occupied,ARM
75,80,100,684000,23-08-2006,360,7,NY,768,Owner Occupied,ARM
1886,79.98,79.98,683000,29-08-2006,480,8.05,CA,604,Owner Occupied,ARM
1152,80,80,680000,31-08-2006,480,8.3,CA,621,Owner Occupied,ARM
2687,80,100,680000,31-08-2006,480,8.15,CA,628,Owner Occupied,ARM
1557,80,100,679212,17-07-2006,360,7.8,CA,633,Owner Occupied,ARM
3498,80,100,676000,30-08-2006,360,7.5,CA,713,Owner Occupied,ARM
1156,90,90,675000,08-09-2006,360,8.45,CA,631,Owner Occupied,ARM
2183,73.37,73.37,675000,07-09-2006,480,7.15,CA,565,Owner Occupied,ARM
663,81.21,81.21,670000,21-08-2006,360,8.138,CT,614,Owner Occupied,Fix
1407,80,100,668720,16-08-2006,360,7.99,CA,626,Owner Occupied,ARM
986,85,85,667250,25-08-2006,480,6.65,HI,560,Owner Occupied,Fix
1647,90,90,662400,29-08-2006,360,7.6,CA,622,Owner Occupied,ARM
1767,95,95,655500,30-08-2006,360,8.4,CA,733,Owner Occupied,ARM
2003,90,90,652500,08-09-2006,360,8.5,CA,667,Owner Occupied,ARM
3234,80,96,652000,07-09-2006,360,7.475,CA,600,Owner Occupied,ARM
3874,80,100,652000,17-08-2006,480,6.99,CA,614,Owner Occupied,ARM
1920,95,95,650750,03-08-2006,360,7.5,IN,638,Owner Occupied,ARM
1344,74.29,74.29,650000,21-08-2006,360,9.275,NY,571,Owner Occupied,ARM
2208,89.66,89.66,650000,29-08-2006,360,6.75,CA,636,Owner Occupied,Fix
4473,94.89,94.89,649999,20-09-2006,360,7.875,CA,654,Owner Occupied,Fix
4628,90,90,649800,01-09-2006,360,8.15,IL,789,Owner Occupied,ARM
2100,90,100,647100,31-08-2006,360,7.35,TX,632,Owner Occupied,ARM
4170,32.3,32.3,646000,31-08-2006,360,6,CA,794,Owner Occupied,Fix
4474,80,80,643784,28-08-2006,480,7.2,CA,562,Owner Occupied,ARM
1073,88.08,88.08,643000,09-08-2006,360,7.25,NY,686,Owner Occupied,Fix
343,95,100,641250,12-09-2006,360,8.5,CA,642,Owner Occupied,ARM
503,65.64,65.64,640000,16-08-2006,360,9.99,CA,509,Owner Occupied,ARM
1961,79.01,79.01,640000,21-08-2006,480,7.25,FL,572,Owner Occupied,ARM
2235,83.12,83.12,640000,28-08-2006,360,9.25,CA,532,Owner Occupied,ARM
519,85,85,637500,23-08-2006,360,8.75,CA,652,Owner Occupied,ARM
823,90,90,637200,17-08-2006,360,8.2,CA,683,Owner Occupied,ARM
1736,90,90,634500,18-08-2006,360,7.5,CA,709,Investor Owned,ARM
4716,90,90,634500,31-08-2006,480,7.75,CA,600,Owner Occupied,ARM
4686,80,100,632000,07-09-2006,360,8.15,CA,643,Owner Occupied,ARM
2755,95,95,631750,07-09-2006,360,8.25,CA,690,Owner Occupied,ARM
402,90,100,630000,11-08-2006,480,9.9,CA,598,Owner Occupied,ARM
500,90,90,629100,25-08-2006,480,8.5,NY,597,Owner Occupied,ARM
1656,80,100,628000,21-08-2006,360,7.3,HI,637,Owner Occupied,ARM
2122,90,90,625500,28-06-2006,360,7.99,CA,620,Owner Occupied,ARM
2838,84.46,84.46,625000,21-08-2006,480,8.65,IL,593,Owner Occupied,ARM
299,85,85,624750,30-08-2006,360,8.99,CA,596,Owner Occupied,ARM
246,80,100,624000,29-08-2006,480,8.125,CA,645,Owner Occupied,ARM
3883,80,100,624000,31-08-2006,480,9.65,WA,663,Owner Occupied,ARM
3982,80,100,623200,06-09-2006,360,6.65,CA,659,Owner Occupied,ARM
3838,90,90,621000,24-08-2006,360,7.9,CA,710,Owner Occupied,ARM
3352,80,100,620000,08-09-2006,480,7.25,CA,623,Owner Occupied,ARM
3473,80,100,620000,31-08-2006,360,6.95,NV,605,Owner Occupied,ARM
4518,80,100,620000,30-08-2006,360,7.75,CA,639,Owner Occupied,ARM
18,95,95,617500,31-08-2006,360,9.75,CA,633,Owner Occupied,ARM
2690,95,95,617500,23-08-2006,480,9.35,CA,630,Owner Occupied,Fix
1464,90,90,616500,23-08-2006,360,9.75,WA,626,Owner Occupied,ARM
2578,85,85,616250,06-09-2006,360,8.55,IL,540,Owner Occupied,ARM
2087,80,100,616000,31-08-2006,360,7.4,CA,632,Owner Occupied,ARM
3124,80,80,616000,23-08-2006,480,7.75,NJ,584,Owner Occupied,ARM
4556,80,100,614400,08-09-2006,480,7.5,CA,683,Owner Occupied,ARM
747,90,90,612000,18-09-2006,360,8,MD,633,Owner Occupied,ARM
